country,country_wb,gdp_country_code,year,season,medal_count,gdp_current_usd
Suriname,Suriname,SUR,1988,Summer,1,1161000000.0
Sweden,Sweden,SWE,1988,Summer,11,206686590775.558
Switzerland,Switzerland,CHE,1988,Summer,4,215540625298.982
Thailand,Thailand,THA,1988,Summer,1,61667253471.3736
Turkey,Turkiye,TUR,1988,Summer,2,90875175808.7201
USSR,Russian Federation,RUS,1988,Summer,132,554828660436.137
United States,United States,USA,1988,Summer,94,5236438000000.0
"Virgin Islands, US",Virgin Islands (U.S.),VIR,1988,Summer,1,3262000000.0
Yugoslavia,Serbia,SRB,1988,Summer,12,17921892655.3672
Austria,Austria,AUT,1988,Winter,10,132817124707.456
Canada,Canada,CAN,1988,Winter,5,509380027626.554
Czechoslovakia,Czechia,CZE,1988,Winter,3,41016881802.4843
Federal Republic of Germany,Germany,DEU,1988,Winter,8,1406367016371.53
Finland,Finland,FIN,1988,Winter,7,109039090262.971
France,France,FRA,1988,Winter,2,1010827662151.75
German Democratic Republic,Germany,DEU,1988,Winter,25,1406367016371.53
Italy,Italy,ITA,1988,Winter,5,893663934840.821
Japan,Japan,JPN,1988,Winter,1,3125724434400.79
Liechtenstein,Liechtenstein,LIE,1988,Winter,1,1161757671.01756
Netherlands,Netherlands,NLD,1988,Winter,7,262295966105.474
Norway,Norway,NOR,1988,Winter,5,101900260856.222
Sweden,Sweden,SWE,1988,Winter,6,206686590775.558
Switzerland,Switzerland,CHE,1988,Winter,15,215540625298.982
USSR,Russian Federation,RUS,1988,Winter,29,554828660436.137
United States,United States,USA,1988,Winter,6,5236438000000.0
Yugoslavia,Serbia,SRB,1988,Winter,3,17921892655.3672
Algeria,Algeria,DZA,1992,Summer,2,48003133346.9957
Argentina,Argentina,ARG,1992,Summer,1,228778917308.17
Australia,Australia,AUS,1992,Summer,27,325982966981.415
Austria,Austria,AUT,1992,Summer,2,194314032056.098
Bahamas,"Bahamas, The",BHS,1992,Summer,1,3109000000.0
Belgium,Belgium,BEL,1992,Summer,3,234781652446.675
Brazil,Brazil,BRA,1992,Summer,3,328187960871.951
Bulgaria,Bulgaria,BGR,1992,Summer,16,8602887622.63828
Canada,Canada,CAN,1992,Summer,18,594387358318.855
China,China,CHN,1992,Summer,54,428502354788.069
Colombia,Colombia,COL,1992,Summer,1,58418985443.3172
Croatia,Croatia,HRV,1992,Summer,3,10621169290.9986
Cuba,Cuba,CUB,1992,Summer,31,22085858243.2432
Czechoslovakia,Czechia,CZE,1992,Summer,7,35051065440.3962
Denmark,Denmark,DNK,1992,Summer,6,152966494259.538
Estonia,Estonia,EST,1992,Summer,2,4013091682.2914
Ethiopia,Ethiopia,ETH,1992,Summer,3,10754799036.5745
Finland,Finland,FIN,1992,Summer,5,112537828510.751
France,France,FRA,1992,Summer,29,1389663073110.28
Germany,Germany,DEU,1992,Summer,82,2141377582968.07
Ghana,Ghana,GHA,1992,Summer,1,6416103925.83267
Great Britain,United Kingdom,GBR,1992,Summer,20,1179659529659.53
Greece,Greece,GRC,1992,Summer,2,114608178405.434
Hungary,Hungary,HUN,1992,Summer,30,38857339124.9084
Indonesia,Indonesia,IDN,1992,Summer,5,128026966579.964
Iran,"Iran, Islamic Rep.",IRN,1992,Summer,3,119768691216.667
Ireland,Ireland,IRL,1992,Summer,2,55918538121.3989
Israel,Israel,ISR,1992,Summer,2,79457685757.166
Italy,Italy,ITA,1992,Summer,19,1323204350353.5
Jamaica,Jamaica,JAM,1992,Summer,4,3535460089.80719
Japan,Japan,JPN,1992,Summer,22,3980702922117.66
Kenya,Kenya,KEN,1992,Summer,8,8209120763.04955
Korea Republic,"Korea, Rep.",KOR,1992,Summer,29,366921291824.719
Latvia,Latvia,LVA,1992,Summer,3,5608208784.9401
Lithuania,Lithuania,LTU,1992,Summer,2,7921210339.58439
Malaysia,Malaysia,MYS,1992,Summer,1,59167550162.956
Mexico,Mexico,MEX,1992,Summer,1,363157832923.734
Mongolia,Mongolia,MNG,1992,Summer,2,1317611863.84977
Morocco,Morocco,MAR,1992,Summer,3,33711069430.78
Namibia,Namibia,NAM,1992,Summer,2,3429521699.4026
Netherlands,Netherlands,NLD,1992,Summer,15,363497050125.313
New Zealand,New Zealand,NZL,1992,Summer,10,41649829859.6342
Nigeria,Nigeria,NGA,1992,Summer,4,52058181853.8055
Norway,Norway,NOR,1992,Summer,7,130838040067.584
Pakistan,Pakistan,PAK,1992,Summer,1,48884671947.4657
Peru,Peru,PER,1992,Summer,1,35966302303.263
Philippines,Philippines,PHL,1992,Summer,1,60422328242.1803
Poland,Poland,POL,1992,Summer,19,94337050693.2727
Puerto Rico,Puerto Rico (US),PRI,1992,Summer,1,34630430000.0
Qatar,Qatar,QAT,1992,Summer,1,7646153983.51648
Romania,Romania,ROU,1992,Summer,18,25121666666.6667
Slovenia,Slovenia,SVN,1992,Summer,2,14277261540.7456
South Africa,South Africa,ZAF,1992,Summer,2,146956150986.636
Spain,Spain,ESP,1992,Summer,22,630465353486.104
Suriname,Suriname,SUR,1992,Summer,1,404600000.0
Sweden,Sweden,SWE,1992,Summer,12,283908914454.48
Switzerland,Switzerland,CHE,1992,Summer,1,279921425828.474
Thailand,Thailand,THA,1992,Summer,1,111452746517.655
Turkey,Turkiye,TUR,1992,Summer,6,159104772991.851
Unified Team (ex USSR),Russian Federation,RUS,1992,Summer,112,460290556900.726
United States,United States,USA,1992,Summer,108,6520327000000.0
Austria,Austria,AUT,1992,Winter,21,194314032056.098
Canada,Canada,CAN,1992,Winter,7,594387358318.855
China,China,CHN,1992,Winter,3,428502354788.069
Czechoslovakia,Czechia,CZE,1992,Winter,3,35051065440.3962
Finland,Finland,FIN,1992,Winter,7,112537828510.751
France,France,FRA,1992,Winter,9,1389663073110.28
Germany,Germany,DEU,1992,Winter,26,2141377582968.07
Italy,Italy,ITA,1992,Winter,14,1323204350353.5
Japan,Japan,JPN,1992,Winter,7,3980702922117.66
Korea Republic,"Korea, Rep.",KOR,1992,Winter,4,366921291824.719
Luxembourg,Luxembourg,LUX,1992,Winter,2,15518702634.8808
Netherlands,Netherlands,NLD,1992,Winter,4,363497050125.313
New Zealand,New Zealand,NZL,1992,Winter,1,41649829859.6342
Norway,Norway,NOR,1992,Winter,20,130838040067.584
Spain,Spain,ESP,1992,Winter,1,630465353486.104
Sweden,Sweden,SWE,1992,Winter,4,283908914454.48
Switzerland,Switzerland,CHE,1992,Winter,3,279921425828.474
Unified Team (ex USSR),Russian Federation,RUS,1992,Winter,23,460290556900.726
United States,United States,USA,1992,Winter,11,6520327000000.0
Australia,Australia,AUS,1994,Winter,1,323269456935.317
Austria,Austria,AUT,1994,Winter,9,202738023129.743
Belarus,Belarus,BLR,1994,Winter,2,14931435232.078
Canada,Canada,CAN,1994,Winter,13,579944346807.264
China,China,CHN,1994,Winter,3,566929539493.172
Finland,Finland,FIN,1994,Winter,6,103182697780.307
France,France,FRA,1994,Winter,5,1385822778827.98
Germany,Germany,DEU,1994,Winter,24,2215282632276.73
Great Britain,United Kingdom,GBR,1994,Winter,2,1140489745944.29
Italy,Italy,ITA,1994,Winter,20,1101750159702.21
Japan,Japan,JPN,1994,Winter,5,4998797547740.97
Kazakhstan,Kazakhstan,KAZ,1994,Winter,3,21250792886.1054
Korea Republic,"Korea, Rep.",KOR,1994,Winter,6,479181794216.859
Netherlands,Netherlands,NLD,1994,Winter,4,379688232231.505
Norway,Norway,NOR,1994,Winter,26,127131319428.701
Russian Federation,Russian Federation,RUS,1994,Winter,23,395077301248.464
Slovenia,Slovenia,SVN,1994,Winter,3,16400767069.6294
Sweden,Sweden,SWE,1994,Winter,3,228699066874.028
Switzerland,Switzerland,CHE,1994,Winter,9,301375055202.164
Ukraine,Ukraine,UKR,1994,Winter,2,52549580264.8064
United States,United States,USA,1994,Winter,13,7287236000000.0
Uzbekistan,Uzbekistan,UZB,1994,Winter,1,12899074922.38
Algeria,Algeria,DZA,1996,Summer,3,46941554225.3581
Argentina,Argentina,ARG,1996,Summer,3,272149750000.0
Armenia,Armenia,ARM,1996,Summer,2,1596968946.23708
Australia,Australia,AUS,1996,Summer,41,401962517479.122
Austria,Austria,AUT,1996,Summer,3,235952581232.129
Azerbaijan,Azerbaijan,AZE,1996,Summer,1,3176507376.31836
Bahamas,"Bahamas, The",BHS,1996,Summer,1,3609000000.0
Belarus,Belarus,BLR,1996,Summer,15,14500437519.8258
Belgium,Belgium,BEL,1996,Summer,6,279201433224.756
Brazil,Brazil,BRA,1996,Summer,15,850426433004.077
Bulgaria,Bulgaria,BGR,1996,Summer,15,12294964837.6235
Burundi,Burundi,BDI,1996,Summer,1,869033856.317093
Canada,Canada,CAN,1996,Summer,22,630607994132.747
China,China,CHN,1996,Summer,50,868523936530.083
Costa Rica,Costa Rica,CRI,1996,Summer,1,11678424507.2457
Croatia,Croatia,HRV,1996,Summer,2,24150978346.5253
Cuba,Cuba,CUB,1996,Summer,25,25017368700.0
Czech Republic,Czechia,CZE,1996,Summer,11,67804105329.8557
Denmark,Denmark,DNK,1996,Summer,6,187481157845.724
Ecuador,Ecuador,ECU,1996,Summer,1,25226393196.5983
Ethiopia,Ethiopia,ETH,1996,Summer,3,8761215548.48614
Finland,Finland,FIN,1996,Summer,4,131991975148.848
France,France,FRA,1996,Summer,37,1598889216566.23
Georgia,Georgia,GEO,1996,Summer,2,3094936177.1918
Germany,Germany,DEU,1996,Summer,65,2506576553158.31
Great Britain,United Kingdom,GBR,1996,Summer,15,1425287051482.06
Greece,Greece,GRC,1996,Summer,8,142502984144.96
"Hong Kong, British","Hong Kong SAR, China",HKG,1996,Summer,1,159718183550.734
Hungary,Hungary,HUN,1996,Summer,21,46833767123.6915
India,India,IND,1996,Summer,1,392896866204.516
Indonesia,Indonesia,IDN,1996,Summer,4,227369679374.973
Iran,"Iran, Islamic Rep.",IRN,1996,Summer,3,120403931885.441
Ireland,Ireland,IRL,1996,Summer,4,75790786290.3226
Israel,Israel,ISR,1996,Summer,1,115116595544.694
Italy,Italy,ITA,1996,Summer,35,1314776508972.27
Jamaica,Jamaica,JAM,1996,Summer,6,7393891920.80358
Japan,Japan,JPN,1996,Summer,14,4923391533851.63
Kazakhstan,Kazakhstan,KAZ,1996,Summer,11,21035357936.8796
Kenya,Kenya,KEN,1996,Summer,8,12045865396.1323
Korea Republic,"Korea, Rep.",KOR,1996,Summer,27,631196863758.281
Latvia,Latvia,LVA,1996,Summer,1,5799465288.41246
Lithuania,Lithuania,LTU,1996,Summer,1,8430207164.43677
Malaysia,Malaysia,MYS,1996,Summer,2,100855393910.486
Mexico,Mexico,MEX,1996,Summer,1,432157945024.428
Moldova,Moldova,MDA,1996,Summer,2,1695122173.91304
Mongolia,Mongolia,MNG,1996,Summer,1,1345719472.35883
Morocco,Morocco,MAR,1996,Summer,2,43161571527.6353
Mozambique,Mozambique,MOZ,1996,Summer,1,4030146134.5706
Namibia,Namibia,NAM,1996,Summer,2,3989163196.56767
Netherlands,Netherlands,NLD,1996,Summer,19,451372549019.608
New Zealand,New Zealand,NZL,1996,Summer,6,70140835299.0148
Nigeria,Nigeria,NGA,1996,Summer,6,185730236700.0
Norway,Norway,NOR,1996,Summer,7,163520109150.671
Philippines,Philippines,PHL,1996,Summer,1,94648084429.0341
Poland,Poland,POL,1996,Summer,17,160813026223.063
Portugal,Portugal,PRT,1996,Summer,2,122630089680.27
Puerto Rico,Puerto Rico (US),PRI,1996,Summer,1,45340835000.0
Romania,Romania,ROU,1996,Summer,20,36937074278.3004
Russian Federation,Russian Federation,RUS,1996,Summer,63,391724890744.498
Slovakia,Slovak Republic,SVK,1996,Summer,3,28197790874.5247
Slovenia,Slovenia,SVN,1996,Summer,2,21470699362.6062
South Africa,South Africa,ZAF,1996,Summer,5,163234925380.563
Spain,Spain,ESP,1996,Summer,17,642251412058.321
Sweden,Sweden,SWE,1996,Summer,8,291949597375.485
Switzerland,Switzerland,CHE,1996,Summer,7,340103959546.926
Syria,Syrian Arab Republic,SYR,1996,Summer,1,13789560878.2435
Thailand,Thailand,THA,1996,Summer,2,183035237429.281
Tonga,Tonga,TON,1996,Summer,1,222100576.345483
Trinidad and Tobago,Trinidad and Tobago,TTO,1996,Summer,2,5759570336.11287
Tunisia,Tunisia,TUN,1996,Summer,1,19587161806.7655
Turkey,Turkiye,TUR,1996,Summer,6,250366965174.129
Uganda,Uganda,UGA,1996,Summer,1,6044585326.938
Ukraine,Ukraine,UKR,1996,Summer,23,44558831005.0621
United States,United States,USA,1996,Summer,101,8073122000000.0
Uzbekistan,Uzbekistan,UZB,1996,Summer,2,13948892215.5689
Yugoslavia Federal Republic,Serbia,SRB,1996,Summer,4,23277430167.5978
Zambia,Zambia,ZMB,1996,Summer,1,3597220962.00017
Australia,Australia,AUS,1998,Winter,1,400361527504.578
Austria,Austria,AUT,1998,Winter,17,217068085815.918
Belarus,Belarus,BLR,1998,Winter,2,15222012660.4232
Belgium,Belgium,BEL,1998,Winter,1,258528339631.029
Bulgaria,Bulgaria,BGR,1998,Winter,1,15031055046.7575
Canada,Canada,CAN,1998,Winter,15,634000000000.0
China,China,CHN,1998,Winter,8,1037134141760.35
Czech Republic,Czechia,CZE,1998,Winter,3,67187217327.7326
Denmark,Denmark,DNK,1998,Winter,1,176877077513.133
Finland,Finland,FIN,1998,Winter,12,133990876724.522
France,France,FRA,1998,Winter,8,1496906382032.47
Germany,Germany,DEU,1998,Winter,29,2247760364565.97
Great Britain,United Kingdom,GBR,1998,Winter,1,1660821464060.95
Italy,Italy,ITA,1998,Winter,10,1272729786996.77
Japan,Japan,JPN,1998,Winter,10,4098362709531.24
Kazakhstan,Kazakhstan,KAZ,1998,Winter,2,22135245507.3656
Korea Republic,"Korea, Rep.",KOR,1998,Winter,6,397297216492.19
Netherlands,Netherlands,NLD,1998,Winter,11,438612530548.767
Norway,Norway,NOR,1998,Winter,25,154230295158.447
Russian Federation,Russian Federation,RUS,1998,Winter,18,270955486862.442
Sweden,Sweden,SWE,1998,Winter,3,270887306758.576
Switzerland,Switzerland,CHE,1998,Winter,7,303459014346.806
Ukraine,Ukraine,UKR,1998,Winter,1,41882523345.1804
United States,United States,USA,1998,Winter,13,9062818202000.0
Algeria,Algeria,DZA,2000,Summer,5,54790398570.3282
Argentina,Argentina,ARG,2000,Summer,4,284203750000.0
Armenia,Armenia,ARM,2000,Summer,1,1911563668.85006
Australia,Australia,AUS,2000,Summer,58,416901962163.479
Austria,Austria,AUT,2000,Summer,3,196181599831.287
Azerbaijan,Azerbaijan,AZE,2000,Summer,3,5272615722.96892
Bahamas,"Bahamas, The",BHS,2000,Summer,3,8076470000.0
Barbados,Barbados,BRB,2000,Summer,1,3059500000.0
Belarus,Belarus,BLR,2000,Summer,17,12736856827.9847
Belgium,Belgium,BEL,2000,Summer,5,236792460312.471
Brazil,Brazil,BRA,2000,Summer,12,655448188259.351
Bulgaria,Bulgaria,BGR,2000,Summer,13,13245990274.4581
Cameroon,Cameroon,CMR,2000,Summer,1,10566579294.9831
Canada,Canada,CAN,2000,Summer,14,744773415931.587
Chile,Chile,CHL,2000,Summer,1,78339750721.364
China,China,CHN,2000,Summer,58,1223754919971.05
Colombia,Colombia,COL,2000,Summer,1,99875074951.0278
Costa Rica,Costa Rica,CRI,2000,Summer,2,15013629661.8969
Croatia,Croatia,HRV,2000,Summer,2,22134411297.473
Cuba,Cuba,CUB,2000,Summer,29,30565400000.0
Czech Republic,Czechia,CZE,2000,Summer,8,62175642238.0847
Denmark,Denmark,DNK,2000,Summer,6,164043817223.59
Estonia,Estonia,EST,2000,Summer,3,5686579747.53524
Ethiopia,Ethiopia,ETH,2000,Summer,8,8242349617.8638
Finland,Finland,FIN,2000,Summer,4,125967821110.589
France,France,FRA,2000,Summer,38,1360959069477.49
Georgia,Georgia,GEO,2000,Summer,6,3057475335.18846
Germany,Germany,DEU,2000,Summer,56,1966980701145.1
Great Britain,United Kingdom,GBR,2000,Summer,28,1671597821152.97
Greece,Greece,GRC,2000,Summer,13,125760166224.805
Hungary,Hungary,HUN,2000,Summer,17,47275954428.9586
Iceland,Iceland,ISL,2000,Summer,1,9140168922.35677
India,India,IND,2000,Summer,1,468395521654.458
Indonesia,Indonesia,IDN,2000,Summer,6,165021012077.81
Iran,"Iran, Islamic Rep.",IRN,2000,Summer,4,109591707802.216
Ireland,Ireland,IRL,2000,Summer,1,100207610429.909
Israel,Israel,ISR,2000,Summer,1,136512300542.025
Italy,Italy,ITA,2000,Summer,34,1149661363439.38
Jamaica,Jamaica,JAM,2000,Summer,9,9005064474.93003
Japan,Japan,JPN,2000,Summer,18,4968359075956.59
Kazakhstan,Kazakhstan,KAZ,2000,Summer,7,18291990662.0356
Kenya,Kenya,KEN,2000,Summer,7,12705350097.8044
Korea Republic,"Korea, Rep.",KOR,2000,Summer,28,597487173479.109
Kuwait,Kuwait,KWT,2000,Summer,1,37718743480.0751
Kyrgyzstan,Kyrgyz Republic,KGZ,2000,Summer,1,1369688498.06778
Latvia,Latvia,LVA,2000,Summer,3,7761252607.18424
Lithuania,Lithuania,LTU,2000,Summer,5,11550695727.2335
Macedonia,North Macedonia,MKD,2000,Summer,1,3772859034.20508
Mexico,Mexico,MEX,2000,Summer,6,742061329749.127
Moldova,Moldova,MDA,2000,Summer,2,1288429391.79951
Morocco,Morocco,MAR,2000,Summer,5,43017455401.8445
Mozambique,Mozambique,MOZ,2000,Summer,1,5930685214.61595
Netherlands,Netherlands,NLD,2000,Summer,25,417649282153.726
New Zealand,New Zealand,NZL,2000,Summer,4,52623281956.7031
Nigeria,Nigeria,NGA,2000,Summer,3,69171451627.2465
Norway,Norway,NOR,2000,Summer,10,171457201935.968
Poland,Poland,POL,2000,Summer,14,172953527033.013
Portugal,Portugal,PRT,2000,Summer,2,118605192877.388
Qatar,Qatar,QAT,2000,Summer,1,17759890109.8901
Romania,Romania,ROU,2000,Summer,26,37253739511.1273
Russian Federation,Russian Federation,RUS,2000,Summer,89,259710142196.943
Saudi Arabia,Saudi Arabia,SAU,2000,Summer,2,189514933333.333
Slovakia,Slovak Republic,SVK,2000,Summer,5,29215726004.7765
Slovenia,Slovenia,SVN,2000,Summer,2,20159190701.6789
South Africa,South Africa,ZAF,2000,Summer,5,151752757215.309
Spain,Spain,ESP,2000,Summer,11,598102854756.08
Sri Lanka,Sri Lanka,LKA,2000,Summer,1,16595882818.6857
Sweden,Sweden,SWE,2000,Summer,12,262903560280.282
Switzerland,Switzerland,CHE,2000,Summer,9,279216033870.204
Thailand,Thailand,THA,2000,Summer,3,126392224253.794
Trinidad and Tobago,Trinidad and Tobago,TTO,2000,Summer,2,8154342116.10311
Turkey,Turkiye,TUR,2000,Summer,5,274748463178.502
Ukraine,Ukraine,UKR,2000,Summer,23,32375083934.8241
United States,United States,USA,2000,Summer,93,10250947997000.0
Uruguay,Uruguay,URY,2000,Summer,1,22823270892.1094
Uzbekistan,Uzbekistan,UZB,2000,Summer,4,13760513969.314
Vietnam,Viet Nam,VNM,2000,Summer,1,31172518403.3162
Yugoslavia Federal Republic,Serbia,SRB,2000,Summer,3,7326373882.11044
Australia,Australia,AUS,2002,Winter,2,396436967262.563
Austria,Austria,AUT,2002,Winter,17,212837224022.813
Belarus,Belarus,BLR,2002,Winter,1,14594900944.7658
Bulgaria,Bulgaria,BGR,2002,Winter,3,16403043849.8297
Canada,Canada,CAN,2002,Winter,17,760649334098.005
China,China,CHN,2002,Winter,8,1489821682050.54
Croatia,Croatia,HRV,2002,Winter,4,26757722428.6781
Czech Republic,Czechia,CZE,2002,Winter,3,82607869609.574
Estonia,Estonia,EST,2002,Winter,3,7370119619.4782
Finland,Finland,FIN,2002,Winter,7,140360963811.765
France,France,FRA,2002,Winter,11,1492427756382.43
Germany,Germany,DEU,2002,Winter,36,2102350798305.89
Great Britain,United Kingdom,GBR,2002,Winter,2,1790536570743.41
Italy,Italy,ITA,2002,Winter,13,1281746271196.04
Japan,Japan,JPN,2002,Winter,2,4182846045873.61
Korea Republic,"Korea, Rep.",KOR,2002,Winter,4,650014391470.21
Netherlands,Netherlands,NLD,2002,Winter,8,475529972122.746
Norway,Norway,NOR,2002,Winter,25,195914852576.467
Poland,Poland,POL,2002,Winter,2,199694463255.567
Russian Federation,Russian Federation,RUS,2002,Winter,13,345470494417.863
Slovenia,Slovenia,SVN,2002,Winter,1,23214593516.2095
Sweden,Sweden,SWE,2002,Winter,7,267371907446.776
Switzerland,Switzerland,CHE,2002,Winter,11,309301422430.386
United States,United States,USA,2002,Winter,34,10929112955000.0
Argentina,Argentina,ARG,2004,Summer,6,164657930452.787
Australia,Australia,AUS,2004,Summer,50,615643050220.515
Austria,Austria,AUT,2004,Summer,7,299210411454.823
Azerbaijan,Azerbaijan,AZE,2004,Summer,5,8680405740.94125
Bahamas,"Bahamas, The",BHS,2004,Summer,2,9055290000.0
Belarus,Belarus,BLR,2004,Summer,13,23141566292.9462
Belgium,Belgium,BEL,2004,Summer,3,369214712443.206
Brazil,Brazil,BRA,2004,Summer,10,669289321944.512
Bulgaria,Bulgaria,BGR,2004,Summer,12,26157743368.8716
Cameroon,Cameroon,CMR,2004,Summer,1,18826214135.6419
Canada,Canada,CAN,2004,Summer,12,1026690238278.25
Chile,Chile,CHL,2004,Summer,3,99075985773.6682
China,China,CHN,2004,Summer,63,1984196551300.44
Colombia,Colombia,COL,2004,Summer,2,117092416666.245
Croatia,Croatia,HRV,2004,Summer,5,41836292157.3335
Cuba,Cuba,CUB,2004,Summer,27,38203000000.0
Czech Republic,Czechia,CZE,2004,Summer,9,120147899983.657
Denmark,Denmark,DNK,2004,Summer,8,251986155630.852
Dominican Republic,Dominican Republic,DOM,2004,Summer,1,22322387382.494
Egypt,"Egypt, Arab Rep.",EGY,2004,Summer,5,78782467532.4675
Eritrea,Eritrea,ERI,2004,Summer,1,1109054005.43971
Estonia,Estonia,EST,2004,Summer,3,12148595031.0559
Ethiopia,Ethiopia,ETH,2004,Summer,7,10131187261.4421
Finland,Finland,FIN,2004,Summer,2,197458297639.769
France,France,FRA,2004,Summer,33,2109792297237.03
Georgia,Georgia,GEO,2004,Summer,4,5125365191.98664
Germany,Germany,DEU,2004,Summer,49,2852317768061.78
Great Britain,United Kingdom,GBR,2004,Summer,30,2429774807762.72
Greece,Greece,GRC,2004,Summer,16,234979615898.225
"Hong Kong, China","Hong Kong SAR, China",HKG,2004,Summer,1,169099768875.193
Hungary,Hungary,HUN,2004,Summer,17,104015363080.271
India,India,IND,2004,Summer,1,709152728830.775
Indonesia,Indonesia,IDN,2004,Summer,4,256836875295.452
Iran,"Iran, Islamic Rep.",IRN,2004,Summer,6,187754571247.666
Israel,Israel,ISR,2004,Summer,2,140047984605.087
Italy,Italy,ITA,2004,Summer,32,1812808753294.75
Jamaica,Jamaica,JAM,2004,Summer,5,10174664853.9476
Japan,Japan,JPN,2004,Summer,37,4893116005656.56
Kazakhstan,Kazakhstan,KAZ,2004,Summer,8,43151647002.6096
Kenya,Kenya,KEN,2004,Summer,7,16095337093.8366
Korea Republic,"Korea, Rep.",KOR,2004,Summer,30,823251107638.814
Latvia,Latvia,LVA,2004,Summer,4,13827070378.5612
Lithuania,Lithuania,LTU,2004,Summer,3,22743164431.1972
Mexico,Mexico,MEX,2004,Summer,4,819459227375.022
Mongolia,Mongolia,MNG,2004,Summer,1,1992066808.09598
Morocco,Morocco,MAR,2004,Summer,3,66114145451.0067
Netherlands,Netherlands,NLD,2004,Summer,22,661224886143.245
New Zealand,New Zealand,NZL,2004,Summer,5,103905210084.034
Nigeria,Nigeria,NGA,2004,Summer,2,135764731645.611
Norway,Norway,NOR,2004,Summer,6,265268662473.297
Paraguay,Paraguay,PRY,2004,Summer,1,9624440836.29309
Poland,Poland,POL,2004,Summer,10,256268656145.134
Portugal,Portugal,PRT,2004,Summer,3,189382122532.169
Romania,Romania,ROU,2004,Summer,19,74973656851.8076
Russian Federation,Russian Federation,RUS,2004,Summer,90,591016690732.385
Serbia and Montenegro,Serbia,SRB,2004,Summer,2,26845632341.8075
Slovakia,Slovak Republic,SVK,2004,Summer,6,57215475076.2986
Slovenia,Slovenia,SVN,2004,Summer,4,34156553313.4031
South Africa,South Africa,ZAF,2004,Summer,6,255806908594.573
Spain,Spain,ESP,2004,Summer,20,1069829382514.67
Sweden,Sweden,SWE,2004,Summer,7,384545442175.019
Switzerland,Switzerland,CHE,2004,Summer,5,403912891033.374
Syria,Syrian Arab Republic,SYR,2004,Summer,1,25086950495.0495
Thailand,Thailand,THA,2004,Summer,8,172895685154.658
Trinidad and Tobago,Trinidad and Tobago,TTO,2004,Summer,1,13280291989.5755
Turkey,Turkiye,TUR,2004,Summer,10,410156784495.948
Ukraine,Ukraine,UKR,2004,Summer,22,67220154164.3166
United Arab Emirates,United Arab Emirates,ARE,2004,Summer,1,147824370319.946
United States,United States,USA,2004,Summer,101,12217193198000.0
Uzbekistan,Uzbekistan,UZB,2004,Summer,5,12030023547.8807
Venezuela,"Venezuela, RB",VEN,2004,Summer,2,112451400424.964
Zimbabwe,Zimbabwe,ZWE,2004,Summer,3,5808500000.0
Australia,Australia,AUS,2006,Winter,2,749708370332.989
Austria,Austria,AUT,2006,Winter,23,333905979332.481
Belarus,Belarus,BLR,2006,Winter,1,36961894281.3444
Bulgaria,Bulgaria,BGR,2006,Winter,1,34380536495.6739
Canada,Canada,CAN,2006,Winter,24,1319264809590.97
China,China,CHN,2006,Winter,11,2791498472804.33
Croatia,Croatia,HRV,2006,Winter,3,49583544860.0759
Czech Republic,Czechia,CZE,2006,Winter,4,156236258386.589
Estonia,Estonia,EST,2006,Winter,3,17025671810.3124
Finland,Finland,FIN,2006,Winter,9,217044068234.117
France,France,FRA,2006,Winter,9,2317861544690.82
Germany,Germany,DEU,2006,Winter,29,3046308753670.58
Great Britain,United Kingdom,GBR,2006,Winter,1,2719558417663.29
Italy,Italy,ITA,2006,Winter,11,1958563654385.64
Japan,Japan,JPN,2006,Winter,1,4601663122649.92
Korea Republic,"Korea, Rep.",KOR,2006,Winter,11,1095175538508.19
Latvia,Latvia,LVA,2006,Winter,1,20434922247.3037
Netherlands,Netherlands,NLD,2006,Winter,9,737593995289.411
Norway,Norway,NOR,2006,Winter,19,346915160681.708
Poland,Poland,POL,2006,Winter,2,345897630736.173
Russian Federation,Russian Federation,RUS,2006,Winter,22,989932071352.543
Slovakia,Slovak Republic,SVK,2006,Winter,1,70751813442.9881
Sweden,Sweden,SWE,2006,Winter,14,422528394459.353
Switzerland,Switzerland,CHE,2006,Winter,14,441634672196.523
Ukraine,Ukraine,UKR,2006,Winter,2,111884752475.248
United States,United States,USA,2006,Winter,25,13815586948000.0
Afghanistan,Afghanistan,AFG,2008,Summer,1,10109297047.5432
Algeria,Algeria,DZA,2008,Summer,2,180383848331.135
Argentina,Argentina,ARG,2008,Summer,6,361558037110.419
Armenia,Armenia,ARM,2008,Summer,5,11662040713.8753
Australia,Australia,AUS,2008,Summer,46,1058448244063.77
Austria,Austria,AUT,2008,Summer,3,429234399096.173
Azerbaijan,Azerbaijan,AZE,2008,Summer,6,48851293785.4483
Bahamas,"Bahamas, The",BHS,2008,Summer,2,10526000000.0
Belarus,Belarus,BLR,2008,Summer,14,60752106347.126
Belgium,Belgium,BEL,2008,Summer,2,517328087920.078
Brazil,Brazil,BRA,2008,Summer,17,1695855391757.96
Bulgaria,Bulgaria,BGR,2008,Summer,5,54480684188.4442
Cameroon,Cameroon,CMR,2008,Summer,1,27715142032.913
Canada,Canada,CAN,2008,Summer,20,1552989690721.65
Chile,Chile,CHL,2008,Summer,1,179894594475.405
China,China,CHN,2008,Summer,100,4667346414521.95
Colombia,Colombia,COL,2008,Summer,3,242504150472.931
Croatia,Croatia,HRV,2008,Summer,5,68472854617.2831
