country,country_wb,gdp_country_code,year,season,medal_count,gdp_per_capita
Senegal,Senegal,SEN,1988,Summer,1,880.487755138196
Spain,Spain,ESP,1988,Summer,4,9696.1928538538
Suriname,Suriname,SUR,1988,Summer,1,2886.42980207694
Sweden,Sweden,SWE,1988,Summer,11,24499.1240758517
Switzerland,Switzerland,CHE,1988,Summer,4,32690.4302734561
Thailand,Thailand,THA,1988,Summer,1,1164.20096229495
Turkey,Turkiye,TUR,1988,Summer,2,1685.69479240535
USSR,Russian Federation,RUS,1988,Summer,132,3778.01977539063
United States,United States,USA,1988,Summer,94,21417.0119305191
"Virgin Islands, US",Virgin Islands (U.S.),VIR,1988,Summer,1,30062.0225050457
Yugoslavia,Serbia,SRB,1988,Summer,12,2349.40645150289
Austria,Austria,AUT,1988,Winter,10,17509.7658683817
Canada,Canada,CAN,1988,Winter,5,19012.5723278349
Czechoslovakia,Czechia,CZE,1988,Winter,3,3969.36733543794
Federal Republic of Germany,Germany,DEU,1988,Winter,8,17996.9783507619
Finland,Finland,FIN,1988,Winter,7,22043.7701596288
France,France,FRA,1988,Winter,2,17549.6440487161
German Democratic Republic,Germany,DEU,1988,Winter,25,17996.9783507619
Italy,Italy,ITA,1988,Winter,5,15780.9495122174
Japan,Japan,JPN,1988,Winter,1,25499.8811728107
Liechtenstein,Liechtenstein,LIE,1988,Winter,1,41568.5441182755
Netherlands,Netherlands,NLD,1988,Winter,7,17770.6162376388
Norway,Norway,NOR,1988,Winter,5,24207.281468963
Sweden,Sweden,SWE,1988,Winter,6,24499.1240758517
Switzerland,Switzerland,CHE,1988,Winter,15,32690.4302734561
USSR,Russian Federation,RUS,1988,Winter,29,3778.01977539063
United States,United States,USA,1988,Winter,6,21417.0119305191
Yugoslavia,Serbia,SRB,1988,Winter,3,2349.40645150289
Algeria,Algeria,DZA,1992,Summer,2,1802.69300801289
Argentina,Argentina,ARG,1992,Summer,1,6789.99611136495
Australia,Australia,AUS,1992,Summer,27,18650.3675476612
Austria,Austria,AUT,1992,Summer,2,24782.7118767063
Bahamas,"Bahamas, The",BHS,1992,Summer,1,10873.4047501635
Belgium,Belgium,BEL,1992,Summer,3,23372.619171015
Brazil,Brazil,BRA,1992,Summer,3,2127.29083011489
Bulgaria,Bulgaria,BGR,1992,Summer,16,1007.34454544881
Canada,Canada,CAN,1992,Summer,18,20950.3305287651
China,China,CHN,1992,Summer,54,367.822651903542
Colombia,Colombia,COL,1992,Summer,1,1730.39091795329
Croatia,Croatia,HRV,1992,Summer,3,2321.15204123035
Cuba,Cuba,CUB,1992,Summer,31,2047.67900346421
Czechoslovakia,Czechia,CZE,1992,Summer,7,3396.70972430469
Denmark,Denmark,DNK,1992,Summer,6,29579.4913648682
Estonia,Estonia,EST,1992,Summer,2,2685.90889287357
Ethiopia,Ethiopia,ETH,1992,Summer,3,207.406400863847
Finland,Finland,FIN,1992,Summer,5,22320.1124695857
France,France,FRA,1992,Summer,29,23615.0168565483
Germany,Germany,DEU,1992,Summer,82,26559.8543879632
Ghana,Ghana,GHA,1992,Summer,1,396.426407640517
Great Britain,United Kingdom,GBR,1992,Summer,20,20487.1707852878
Greece,Greece,GRC,1992,Summer,2,11021.012224607
Hungary,Hungary,HUN,1992,Summer,30,3747.32966394956
Indonesia,Indonesia,IDN,1992,Summer,5,673.67103954742
Iran,"Iran, Islamic Rep.",IRN,1992,Summer,3,1957.48507794252
Ireland,Ireland,IRL,1992,Summer,2,15714.3847487231
Israel,Israel,ISR,1992,Summer,2,15509.9913638817
Italy,Italy,ITA,1992,Summer,19,23297.0460325456
Jamaica,Jamaica,JAM,1992,Summer,4,1458.10146892635
Japan,Japan,JPN,1992,Summer,22,31992.7902119161
Kenya,Kenya,KEN,1992,Summer,8,336.68139978696
Korea Republic,"Korea, Rep.",KOR,1992,Summer,29,8387.16308258471
Latvia,Latvia,LVA,1992,Summer,3,2256.77360387054
Lithuania,Lithuania,LTU,1992,Summer,2,2182.69156931505
Malaysia,Malaysia,MYS,1992,Summer,1,3141.43321987651
Mexico,Mexico,MEX,1992,Summer,1,4220.56643677057
Mongolia,Mongolia,MNG,1992,Summer,2,607.813424662797
Morocco,Morocco,MAR,1992,Summer,3,1327.02954101563
Namibia,Namibia,NAM,1992,Summer,2,2346.86242963741
Netherlands,Netherlands,NLD,1992,Summer,15,23939.2173482108
New Zealand,New Zealand,NZL,1992,Summer,10,11793.1392416214
Nigeria,Nigeria,NGA,1992,Summer,4,508.515905682785
Norway,Norway,NOR,1992,Summer,7,30523.9850558974
Pakistan,Pakistan,PAK,1992,Summer,1,395.67720859593
Peru,Peru,PER,1992,Summer,1,1567.40910765128
Philippines,Philippines,PHL,1992,Summer,1,916.515694532029
Poland,Poland,POL,1992,Summer,19,2459.02068468253
Puerto Rico,Puerto Rico (US),PRI,1992,Summer,1,9659.33889995916
Qatar,Qatar,QAT,1992,Summer,1,16280.2938815273
Romania,Romania,ROU,1992,Summer,18,1102.10378473246
Slovenia,Slovenia,SVN,1992,Summer,2,7151.15243829224
South Africa,South Africa,ZAF,1992,Summer,2,3462.39400202835
Spain,Spain,ESP,1992,Summer,22,16100.6799428032
Suriname,Suriname,SUR,1992,Summer,1,968.895253466926
Sweden,Sweden,SWE,1992,Summer,12,32753.4287003642
Switzerland,Switzerland,CHE,1992,Summer,1,40713.6881521435
Thailand,Thailand,THA,1992,Summer,1,1971.60879910694
Turkey,Turkiye,TUR,1992,Summer,6,2743.65320297936
Unified Team (ex USSR),Russian Federation,RUS,1992,Summer,112,3098.802734375
United States,United States,USA,1992,Summer,108,25418.9907763319
Austria,Austria,AUT,1992,Winter,21,24782.7118767063
Canada,Canada,CAN,1992,Winter,7,20950.3305287651
China,China,CHN,1992,Winter,3,367.822651903542
Czechoslovakia,Czechia,CZE,1992,Winter,3,3396.70972430469
Finland,Finland,FIN,1992,Winter,7,22320.1124695857
France,France,FRA,1992,Winter,9,23615.0168565483
Germany,Germany,DEU,1992,Winter,26,26559.8543879632
Italy,Italy,ITA,1992,Winter,14,23297.0460325456
Japan,Japan,JPN,1992,Winter,7,31992.7902119161
Korea Republic,"Korea, Rep.",KOR,1992,Winter,4,8387.16308258471
Luxembourg,Luxembourg,LUX,1992,Winter,2,39570.8615665986
Netherlands,Netherlands,NLD,1992,Winter,4,23939.2173482108
New Zealand,New Zealand,NZL,1992,Winter,1,11793.1392416214
Norway,Norway,NOR,1992,Winter,20,30523.9850558974
Spain,Spain,ESP,1992,Winter,1,16100.6799428032
Sweden,Sweden,SWE,1992,Winter,4,32753.4287003642
Switzerland,Switzerland,CHE,1992,Winter,3,40713.6881521435
Unified Team (ex USSR),Russian Federation,RUS,1992,Winter,23,3098.802734375
United States,United States,USA,1992,Winter,11,25418.9907763319
Australia,Australia,AUS,1994,Winter,1,18155.6282000179
Austria,Austria,AUT,1994,Winter,9,25546.2460525087
Belarus,Belarus,BLR,1994,Winter,2,1460.00791360458
Canada,Canada,CAN,1994,Winter,13,19997.6237373354
China,China,CHN,1994,Winter,3,475.677874448369
Finland,Finland,FIN,1994,Winter,6,20278.29109854
France,France,FRA,1994,Winter,5,23359.8985104774
Germany,Germany,DEU,1994,Winter,24,27201.9593555204
Great Britain,United Kingdom,GBR,1994,Winter,2,19709.2380983653
Italy,Italy,ITA,1994,Winter,20,19382.2002150155
Japan,Japan,JPN,1994,Winter,5,39933.5150564874
Kazakhstan,Kazakhstan,KAZ,1994,Winter,3,1246.83633018218
Korea Republic,"Korea, Rep.",KOR,1994,Winter,6,10733.9888860657
Netherlands,Netherlands,NLD,1994,Winter,4,24682.5866742863
Norway,Norway,NOR,1994,Winter,26,29315.8092337732
Russian Federation,Russian Federation,RUS,1994,Winter,23,2662.10400390625
Slovenia,Slovenia,SVN,1994,Winter,3,8243.89895545106
Sweden,Sweden,SWE,1994,Winter,3,26045.5196995275
Switzerland,Switzerland,CHE,1994,Winter,9,43091.7770970073
Ukraine,Ukraine,UKR,1994,Winter,2,1009.09405517578
United States,United States,USA,1994,Winter,13,27694.853416234
Uzbekistan,Uzbekistan,UZB,1994,Winter,1,574.229079896619
Algeria,Algeria,DZA,1996,Summer,3,1616.83198721285
Argentina,Argentina,ARG,1996,Summer,3,7663.21271287469
Armenia,Armenia,ARM,1996,Summer,2,487.068624404558
Australia,Australia,AUS,1996,Summer,41,22055.838490507
Austria,Austria,AUT,1996,Summer,3,29645.9451251491
Azerbaijan,Azerbaijan,AZE,1996,Summer,1,409.185543774103
Bahamas,"Bahamas, The",BHS,1996,Summer,1,11783.797197226
Belarus,Belarus,BLR,1996,Summer,15,1427.26896385327
Belgium,Belgium,BEL,1996,Summer,6,27489.5551770488
Brazil,Brazil,BRA,1996,Summer,15,5179.13052009976
Bulgaria,Bulgaria,BGR,1996,Summer,15,1470.19259250682
Burundi,Burundi,BDI,1996,Summer,1,143.156741187159
Canada,Canada,CAN,1996,Summer,22,21296.9723536904
China,China,CHN,1996,Summer,50,713.337387811657
Costa Rica,Costa Rica,CRI,1996,Summer,1,3226.96395598625
Croatia,Croatia,HRV,1996,Summer,2,5299.6410536193
Cuba,Cuba,CUB,1996,Summer,25,2282.18809324202
Czech Republic,Czechia,CZE,1996,Summer,11,6573.19643136362
Denmark,Denmark,DNK,1996,Summer,6,35621.9878051732
Ecuador,Ecuador,ECU,1996,Summer,1,2135.8479374308
Ethiopia,Ethiopia,ETH,1996,Summer,3,147.327458851964
Finland,Finland,FIN,1996,Summer,4,25756.6777073618
France,France,FRA,1996,Summer,37,26757.6351494145
Georgia,Georgia,GEO,1996,Summer,2,689.034634153312
Germany,Germany,DEU,1996,Summer,65,30599.7891048363
Great Britain,United Kingdom,GBR,1996,Summer,15,24503.3829602903
Greece,Greece,GRC,1996,Summer,8,13432.5262183244
"Hong Kong, British","Hong Kong SAR, China",HKG,1996,Summer,1,24818.3021600084
Hungary,Hungary,HUN,1996,Summer,21,4542.0120380978
India,India,IND,1996,Summer,1,401.046754673579
Indonesia,Indonesia,IDN,1996,Summer,4,1118.92133024129
Iran,"Iran, Islamic Rep.",IRN,1996,Summer,3,1914.78121294313
Ireland,Ireland,IRL,1996,Summer,4,20835.8977130847
Israel,Israel,ISR,1996,Summer,1,20224.2789080629
Italy,Italy,ITA,1996,Summer,35,23122.9337219116
Jamaica,Jamaica,JAM,1996,Summer,6,2928.89692611996
Japan,Japan,JPN,1996,Summer,14,39150.0396308089
Kazakhstan,Kazakhstan,KAZ,1996,Summer,11,1281.39152895397
Kenya,Kenya,KEN,1996,Summer,8,440.527078880876
Korea Republic,"Korea, Rep.",KOR,1996,Summer,27,13864.9376534518
Latvia,Latvia,LVA,1996,Summer,1,2360.1714816213
Lithuania,Lithuania,LTU,1996,Summer,1,2340.67545970008
Malaysia,Malaysia,MYS,1996,Summer,2,4837.16897250768
Mexico,Mexico,MEX,1996,Summer,1,4674.36792733681
Moldova,Moldova,MDA,1996,Summer,2,575.145455139019
Mongolia,Mongolia,MNG,1996,Summer,1,595.5810149554
Morocco,Morocco,MAR,1996,Summer,2,1596.83239746094
Mozambique,Mozambique,MOZ,1996,Summer,1,244.362651012498
Namibia,Namibia,NAM,1996,Summer,2,2423.3982907313
Netherlands,Netherlands,NLD,1996,Summer,19,29063.6236532536
New Zealand,New Zealand,NZL,1996,Summer,6,18794.436039393
Nigeria,Nigeria,NGA,1996,Summer,6,1632.72469370276
Norway,Norway,NOR,1996,Summer,7,37321.9741993473
Philippines,Philippines,PHL,1996,Summer,1,1311.09249403865
Poland,Poland,POL,1996,Summer,17,4163.51195431959
Portugal,Portugal,PRT,1996,Summer,2,12185.0914010629
Puerto Rico,Puerto Rico (US),PRI,1996,Summer,1,12173.163688986
Romania,Romania,ROU,1996,Summer,20,1633.01064354117
Russian Federation,Russian Federation,RUS,1996,Summer,63,2643.92919921875
Slovakia,Slovak Republic,SVK,1996,Summer,3,5247.70081044708
Slovenia,Slovenia,SVN,1996,Summer,2,10796.7399446283
South Africa,South Africa,ZAF,1996,Summer,5,3617.55336002932
Spain,Spain,ESP,1996,Summer,17,16100.6215831114
Sweden,Sweden,SWE,1996,Summer,8,33022.2444768661
Switzerland,Switzerland,CHE,1996,Summer,7,48092.6433036512
Syria,Syrian Arab Republic,SYR,1996,Summer,1,918.195857362788
Thailand,Thailand,THA,1996,Summer,2,3054.65690806473
Tonga,Tonga,TON,1996,Summer,1,2214.91474789811
Trinidad and Tobago,Trinidad and Tobago,TTO,1996,Summer,2,4427.27832448289
Tunisia,Tunisia,TUN,1996,Summer,1,2107.40815649257
Turkey,Turkiye,TUR,1996,Summer,6,4041.36210281686
Uganda,Uganda,UGA,1996,Summer,1,284.698259285733
Ukraine,Ukraine,UKR,1996,Summer,23,869.846069335938
United States,United States,USA,1996,Summer,101,29967.7127181749
Uzbekistan,Uzbekistan,UZB,1996,Summer,2,597.33228695111
Yugoslavia Federal Republic,Serbia,SRB,1996,Summer,4,3053.90516860949
Zambia,Zambia,ZMB,1996,Summer,1,399.511304742449
Australia,Australia,AUS,1998,Winter,1,21516.0403147759
Austria,Austria,AUT,1998,Winter,17,27212.4642905708
Belarus,Belarus,BLR,1998,Winter,2,1511.32531567314
Belgium,Belgium,BEL,1998,Winter,1,25338.4432934904
Bulgaria,Bulgaria,BGR,1998,Winter,1,1820.44866449942
Canada,Canada,CAN,1998,Winter,15,21024.5850687045
China,China,CHN,1998,Winter,8,835.095348597432
Czech Republic,Czechia,CZE,1998,Winter,3,6526.59635780951
Denmark,Denmark,DNK,1998,Winter,1,33346.4884298957
Finland,Finland,FIN,1998,Winter,12,25999.9861694953
France,France,FRA,1998,Winter,8,24869.4030795939
Germany,Germany,DEU,1998,Winter,29,27395.9440608051
Great Britain,United Kingdom,GBR,1998,Winter,1,28396.3523548013
Italy,Italy,ITA,1998,Winter,10,22365.1837644545
Japan,Japan,JPN,1998,Winter,10,32423.7556133801
Kazakhstan,Kazakhstan,KAZ,1998,Winter,2,1414.59289652597
Korea Republic,"Korea, Rep.",KOR,1998,Winter,6,8583.43557499234
Netherlands,Netherlands,NLD,1998,Winter,11,27924.281808994
Norway,Norway,NOR,1998,Winter,25,34803.4634058738
Russian Federation,Russian Federation,RUS,1998,Winter,18,1834.86181640625
Sweden,Sweden,SWE,1998,Winter,3,30605.3669074811
Switzerland,Switzerland,CHE,1998,Winter,7,42680.5867322391
Ukraine,Ukraine,UKR,1998,Winter,1,831.336791992188
United States,United States,USA,1998,Winter,13,32853.6769523009
Algeria,Algeria,DZA,2000,Summer,5,1772.92869122761
Argentina,Argentina,ARG,2000,Summer,4,7637.01489203628
Armenia,Armenia,ARM,2000,Summer,1,593.450581742282
Australia,Australia,AUS,2000,Summer,58,21908.9968019784
Austria,Austria,AUT,2000,Summer,3,24487.2974685956
Azerbaijan,Azerbaijan,AZE,2000,Summer,3,655.097249579917
Bahamas,"Bahamas, The",BHS,2000,Summer,3,24940.0775086078
Barbados,Barbados,BRB,2000,Summer,1,11674.6736471764
Belarus,Belarus,BLR,2000,Summer,17,1276.2880341
Belgium,Belgium,BEL,2000,Summer,5,23098.8865077401
Brazil,Brazil,BRA,2000,Summer,12,3766.54786339835
Bulgaria,Bulgaria,BGR,2000,Summer,13,1621.26210738992
Cameroon,Cameroon,CMR,2000,Summer,1,708.565731625965
Canada,Canada,CAN,2000,Summer,14,24271.0020563821
Chile,Chile,CHL,2000,Summer,1,5052.99245766325
China,China,CHN,2000,Summer,58,969.199513696287
Colombia,Colombia,COL,2000,Summer,1,2555.00751039968
Costa Rica,Costa Rica,CRI,2000,Summer,2,3812.75388284924
Croatia,Croatia,HRV,2000,Summer,2,4953.65158789022
Cuba,Cuba,CUB,2000,Summer,29,2751.3817714814
Czech Republic,Czechia,CZE,2000,Summer,8,6062.92152842793
Denmark,Denmark,DNK,2000,Summer,6,30722.0251837567
Estonia,Estonia,EST,2000,Summer,3,4070.60902410208
Ethiopia,Ethiopia,ETH,2000,Summer,8,122.269202606069
Finland,Finland,FIN,2000,Summer,4,24335.9225082659
France,France,FRA,2000,Summer,38,22340.5939516217
Georgia,Georgia,GEO,2000,Summer,6,749.908534993961
Germany,Germany,DEU,2000,Summer,56,23925.8559901991
Great Britain,United Kingdom,GBR,2000,Summer,28,28383.8761094996
Greece,Greece,GRC,2000,Summer,13,11638.2010697215
Hungary,Hungary,HUN,2000,Summer,17,4629.91760812548
Iceland,Iceland,ISL,2000,Summer,1,32503.578963236
India,India,IND,2000,Summer,1,442.750218937263
Indonesia,Indonesia,IDN,2000,Summer,6,763.711124950924
Iran,"Iran, Islamic Rep.",IRN,2000,Summer,4,1650.01385833785
Ireland,Ireland,IRL,2000,Summer,1,26334.5672050501
Israel,Israel,ISR,2000,Summer,1,21706.5194056329
Italy,Italy,ITA,2000,Summer,34,20190.0035636084
Jamaica,Jamaica,JAM,2000,Summer,9,3453.09252800226
Japan,Japan,JPN,2000,Summer,18,39169.3595701504
Kazakhstan,Kazakhstan,KAZ,2000,Summer,7,1180.0444563226
Kenya,Kenya,KEN,2000,Summer,7,414.626365130846
Korea Republic,"Korea, Rep.",KOR,2000,Summer,28,12710.2995795579
Kuwait,Kuwait,KWT,2000,Summer,1,19296.3471698729
Kyrgyzstan,Kyrgyz Republic,KGZ,2000,Summer,1,279.621738464365
Latvia,Latvia,LVA,2000,Summer,3,3278.17896440803
Lithuania,Lithuania,LTU,2000,Summer,5,3300.63634928559
Macedonia,North Macedonia,MKD,2000,Summer,1,1861.89899780644
Mexico,Mexico,MEX,2000,Summer,6,7524.0271380091
Moldova,Moldova,MDA,2000,Summer,2,440.538683980372
Morocco,Morocco,MAR,2000,Summer,5,1499.107421875
Mozambique,Mozambique,MOZ,2000,Summer,1,327.12623979157
Netherlands,Netherlands,NLD,2000,Summer,25,26225.1697734149
New Zealand,New Zealand,NZL,2000,Summer,4,13641.1027183822
Nigeria,Nigeria,NGA,2000,Summer,3,547.318298903379
Norway,Norway,NOR,2000,Summer,10,38178.2368777076
Poland,Poland,POL,2000,Summer,14,4520.64100449111
Portugal,Portugal,PRT,2000,Summer,2,11526.3720667968
Qatar,Qatar,QAT,2000,Summer,1,27535.182940934
Romania,Romania,ROU,2000,Summer,26,1659.92904910528
Russian Federation,Russian Federation,RUS,2000,Summer,89,1771.59411621094
Saudi Arabia,Saudi Arabia,SAU,2000,Summer,2,11714.5623675159
Slovakia,Slovak Republic,SVK,2000,Summer,5,5421.6448441887
Slovenia,Slovenia,SVN,2000,Summer,2,10135.7219109212
South Africa,South Africa,ZAF,2000,Summer,5,3217.84693448467
Spain,Spain,ESP,2000,Summer,11,14743.2671031455
Sri Lanka,Sri Lanka,LKA,2000,Summer,1,860.199884304769
Sweden,Sweden,SWE,2000,Summer,12,29632.5890811623
Switzerland,Switzerland,CHE,2000,Summer,9,38865.021939688
Thailand,Thailand,THA,2000,Summer,3,2005.97694514234
Trinidad and Tobago,Trinidad and Tobago,TTO,2000,Summer,2,6178.58975559687
Turkey,Turkiye,TUR,2000,Summer,5,4199.3798635759
Ukraine,Ukraine,UKR,2000,Summer,23,653.294311523438
United States,United States,USA,2000,Summer,93,36329.9560727102
Uruguay,Uruguay,URY,2000,Summer,1,6987.70098766257
Uzbekistan,Uzbekistan,UZB,2000,Summer,4,555.149231099186
Vietnam,Viet Nam,VNM,2000,Summer,1,404.029784055118
Yugoslavia Federal Republic,Serbia,SRB,2000,Summer,3,974.725469278615
Australia,Australia,AUS,2002,Winter,2,20335.0960191023
Austria,Austria,AUT,2002,Winter,17,26334.862215032
Belarus,Belarus,BLR,2002,Winter,1,1479.38066337175
Bulgaria,Bulgaria,BGR,2002,Winter,3,2092.98288625558
Canada,Canada,CAN,2002,Winter,17,24256.0192337185
China,China,CHN,2002,Winter,8,1163.55957673426
Croatia,Croatia,HRV,2002,Winter,4,6219.58164143945
Czech Republic,Czechia,CZE,2002,Winter,3,8101.26018588111
Estonia,Estonia,EST,2002,Winter,3,5343.18310760735
Finland,Finland,FIN,2002,Winter,7,26989.389260959
France,France,FRA,2002,Winter,11,24144.5727019529
Germany,Germany,DEU,2002,Winter,36,25486.5942008748
Great Britain,United Kingdom,GBR,2002,Winter,2,30158.7017807858
Italy,Italy,ITA,2002,Winter,13,22451.3964379368
Japan,Japan,JPN,2002,Winter,2,32820.7936433254
Korea Republic,"Korea, Rep.",KOR,2002,Winter,4,13642.9424537101
Netherlands,Netherlands,NLD,2002,Winter,8,29446.5330872868
Norway,Norway,NOR,2002,Winter,25,43170.557174499
Poland,Poland,POL,2002,Winter,2,5223.45178967082
Russian Federation,Russian Federation,RUS,2002,Winter,13,2377.52954101563
Slovenia,Slovenia,SVN,2002,Winter,1,11639.1297780477
Sweden,Sweden,SWE,2002,Winter,7,29957.7776664916
Switzerland,Switzerland,CHE,2002,Winter,11,42458.7384679187
United States,United States,USA,2002,Winter,34,37997.7596573051
Argentina,Argentina,ARG,2004,Summer,6,4242.02099089422
Australia,Australia,AUS,2004,Summer,50,30886.0500949401
Austria,Austria,AUT,2004,Summer,7,36614.2506533707
Azerbaijan,Azerbaijan,AZE,2004,Summer,5,1045.0136328106
Bahamas,"Bahamas, The",BHS,2004,Summer,2,26650.2934234303
Belarus,Belarus,BLR,2004,Summer,13,2378.33700470129
Belgium,Belgium,BEL,2004,Summer,3,35429.4077933344
Brazil,Brazil,BRA,2004,Summer,10,3663.82262497811
Bulgaria,Bulgaria,BGR,2004,Summer,12,3389.68743360274
Cameroon,Cameroon,CMR,2004,Summer,1,1133.39326749673
Canada,Canada,CAN,2004,Summer,12,32145.5412620217
Chile,Chile,CHL,2004,Summer,3,6120.59152055344
China,China,CHN,2004,Summer,63,1530.92726215723
Colombia,Colombia,COL,2004,Summer,2,2818.57195413044
Croatia,Croatia,HRV,2004,Summer,5,9718.97322801967
Cuba,Cuba,CUB,2004,Summer,27,3399.21962893402
Czech Republic,Czechia,CZE,2004,Summer,9,11782.5546676117
Denmark,Denmark,DNK,2004,Summer,8,46625.050098011
Dominican Republic,Dominican Republic,DOM,2004,Summer,1,2451.69161616569
Egypt,"Egypt, Arab Rep.",EGY,2004,Summer,5,991.255689145253
Eritrea,Eritrea,ERI,2004,Summer,1,426.840947887032
Estonia,Estonia,EST,2004,Summer,3,8916.0728274602
Ethiopia,Ethiopia,ETH,2004,Summer,7,133.169812538096
Finland,Finland,FIN,2004,Summer,2,37768.1334202029
France,France,FRA,2004,Summer,33,33644.9282220364
Georgia,Georgia,GEO,2004,Summer,4,1305.04748557208
Germany,Germany,DEU,2004,Summer,49,34566.7359143735
Great Britain,United Kingdom,GBR,2004,Summer,30,40504.4118103928
Greece,Greece,GRC,2004,Summer,16,21449.2552764245
"Hong Kong, China","Hong Kong SAR, China",HKG,2004,Summer,1,24928.1003722551
Hungary,Hungary,HUN,2004,Summer,17,10291.2694721409
India,India,IND,2004,Summer,1,624.258826510066
Indonesia,Indonesia,IDN,2004,Summer,4,1126.84004447173
Iran,"Iran, Islamic Rep.",IRN,2004,Summer,6,2672.4226651404
Israel,Israel,ISR,2004,Summer,2,20568.0694088834
Italy,Italy,ITA,2004,Summer,32,31348.1901841445
Jamaica,Jamaica,JAM,2004,Summer,5,3807.56293124552
Japan,Japan,JPN,2004,Summer,37,38298.9801712303
Kazakhstan,Kazakhstan,KAZ,2004,Summer,8,2722.47407755402
Kenya,Kenya,KEN,2004,Summer,7,463.662781300121
Korea Republic,"Korea, Rep.",KOR,2004,Summer,30,17121.6301633201
Latvia,Latvia,LVA,2004,Summer,4,6109.73265186817
Lithuania,Lithuania,LTU,2004,Summer,3,6734.57487061946
Mexico,Mexico,MEX,2004,Summer,4,7849.66759649565
Mongolia,Mongolia,MNG,2004,Summer,1,794.154552001815
Morocco,Morocco,MAR,2004,Summer,3,2183.55541992188
Netherlands,Netherlands,NLD,2004,Summer,22,40611.3414353091
New Zealand,New Zealand,NZL,2004,Summer,5,25420.234882944
Nigeria,Nigeria,NGA,2004,Summer,2,962.48104194733
Norway,Norway,NOR,2004,Summer,6,57768.6980958462
Paraguay,Paraguay,PRY,2004,Summer,1,1786.21533938543
Poland,Poland,POL,2004,Summer,10,6711.72715262967
Portugal,Portugal,PRT,2004,Summer,3,18064.1580932987
Romania,Romania,ROU,2004,Summer,19,3494.99056448955
Russian Federation,Russian Federation,RUS,2004,Summer,90,4102.36474609375
Serbia and Montenegro,Serbia,SRB,2004,Summer,2,3597.08798057009
Slovakia,Slovak Republic,SVK,2004,Summer,6,10650.1290097126
Slovenia,Slovenia,SVN,2004,Summer,4,17103.8297783905
South Africa,South Africa,ZAF,2004,Summer,6,5221.46333731721
Spain,Spain,ESP,2004,Summer,20,24925.0267844576
Sweden,Sweden,SWE,2004,Summer,7,42758.0048564929
Switzerland,Switzerland,CHE,2004,Summer,5,54659.4571488233
Syria,Syrian Arab Republic,SYR,2004,Summer,1,1368.1148230028
Thailand,Thailand,THA,2004,Summer,8,2641.56268717857
Trinidad and Tobago,Trinidad and Tobago,TTO,2004,Summer,1,9871.03419820086
Turkey,Turkiye,TUR,2004,Summer,10,5979.6054216148
Ukraine,Ukraine,UKR,2004,Summer,22,1401.01806640625
United Arab Emirates,United Arab Emirates,ARE,2004,Summer,1,33376.7152295209
United States,United States,USA,2004,Summer,101,41724.6316287624
Uzbekistan,Uzbekistan,UZB,2004,Summer,5,462.171492867885
Venezuela,"Venezuela, RB",VEN,2004,Summer,2,4269.08970872392
Zimbabwe,Zimbabwe,ZWE,2004,Summer,3,469.719298949304
Australia,Australia,AUS,2006,Winter,2,36658.8243476122
Austria,Austria,AUT,2006,Winter,23,40382.2078298575
Belarus,Belarus,BLR,2006,Winter,1,3848.22350300163
Bulgaria,Bulgaria,BGR,2006,Winter,1,4523.1465578805
Canada,Canada,CAN,2006,Winter,24,40504.0370977806
China,China,CHN,2006,Winter,11,2129.25696999613
Croatia,Croatia,HRV,2006,Winter,3,11501.2099669894
Czech Republic,Czechia,CZE,2006,Winter,4,15259.0788162004
Estonia,Estonia,EST,2006,Winter,3,12641.4800976473
Finland,Finland,FIN,2006,Winter,9,41214.0187765069
France,France,FRA,2006,Winter,9,36431.5658906555
Germany,Germany,DEU,2006,Winter,29,36980.3349948954
Great Britain,United Kingdom,GBR,2006,Winter,1,44695.161023424
Italy,Italy,ITA,2006,Winter,11,33537.1286994269
Japan,Japan,JPN,2006,Winter,1,35991.546002862
Korea Republic,"Korea, Rep.",KOR,2006,Winter,11,22609.7059431449
Latvia,Latvia,LVA,2006,Winter,1,9211.7374468148
Netherlands,Netherlands,NLD,2006,Winter,9,45123.5432406426
Norway,Norway,NOR,2006,Winter,19,74434.4996835671
Poland,Poland,POL,2006,Winter,2,9068.85528307627
Russian Federation,Russian Federation,RUS,2006,Winter,22,6920.19970703125
Slovakia,Slovak Republic,SVK,2006,Winter,1,13167.8954730379
Sweden,Sweden,SWE,2006,Winter,14,46531.3762240485
Switzerland,Switzerland,CHE,2006,Winter,14,59011.0324592016
Ukraine,Ukraine,UKR,2006,Winter,2,2366.494140625
United States,United States,USA,2006,Winter,25,46302.0008800056
Afghanistan,Afghanistan,AFG,2008,Summer,1,381.73323802844
Algeria,Algeria,DZA,2008,Summer,2,5180.91881514686
Argentina,Argentina,ARG,2008,Summer,6,8944.1102657357
Armenia,Armenia,ARM,2008,Summer,5,3777.66859313767
Australia,Australia,AUS,2008,Summer,46,49811.2067218988
Austria,Austria,AUT,2008,Summer,3,51581.3982361071
Azerbaijan,Azerbaijan,AZE,2008,Summer,6,5574.46810432575
Bahamas,"Bahamas, The",BHS,2008,Summer,2,29392.3824416397
Belarus,Belarus,BLR,2008,Summer,14,6376.17569162063
Belgium,Belgium,BEL,2008,Summer,2,48303.397956286
Brazil,Brazil,BRA,2008,Summer,17,8908.33338467948
Bulgaria,Bulgaria,BGR,2008,Summer,5,7271.30338858025
