Country Code,country_name,season,avg_medal_rank,avg_gdp_rank,total_medals,editions,window_start,window_end,window_efficiency,window_label
LVA,Latvia,Winter,0.19999999999999996,0.6809338521400778,1,1,1997,2006,0.29371428571428565,1997-2006
NLD,Netherlands,Winter,0.6214492753623189,0.9370319922686856,28,3,1997,2006,0.6632103071077682,1997-2006
NOR,Norway,Winter,0.8898550724637682,0.977633682427505,69,3,1997,2006,0.9102131897238044,1997-2006
POL,Poland,Winter,0.268695652173913,0.6783727504863813,4,2,1997,2006,0.3960885103083267,1997-2006
RUS,Russian Federation,Winter,0.8452173913043479,0.5582756406625203,53,3,1997,2006,1.513978633030283,1997-2006
SVK,Slovakia,Winter,0.19999999999999996,0.727626459143969,1,1,1997,2006,0.27486631016042773,1997-2006
SVN,Slovenia,Winter,0.04347826086956519,0.7578125,1,1,1997,2006,0.05737337516808602,1997-2006
SWE,Sweden,Winter,0.5576811594202898,0.9449025023570287,24,3,1997,2006,0.5901996851835742,1997-2006
UKR,Ukraine,Winter,0.268695652173913,0.3450299251480631,3,2,1997,2006,0.7787604279791306,1997-2006
USA,United States,Winter,0.8997101449275363,0.9593769045051802,72,3,1997,2006,0.9378067584309648,1997-2006
AUS,Australia,Winter,0.28579710144927534,0.892354459742592,7,3,2001,2010,0.3202730689906746,2001-2010
AUT,Austria,Winter,0.8631884057971014,0.9055203500698393,56,3,2001,2010,0.9532512502126838,2001-2010
BGR,Bulgaria,Winter,0.27391304347826084,0.5243266658560312,4,2,2001,2010,0.5224091416961645,2001-2010
BLR,Belarus,Winter,0.1878260869565217,0.4835510357427915,5,3,2001,2010,0.38843074065180866,2001-2010
CAN,Canada,Winter,0.9031884057971015,0.9028710528284946,67,3,2001,2010,1.0003514931258597,2001-2010
CHE,Switzerland,Winter,0.6852173913043478,0.9728220405567195,34,3,2001,2010,0.7043604716359188,2001-2010
CHN,China,Winter,0.6695652173913044,0.39685442232864415,30,3,2001,2010,1.6871809402109226,2001-2010
CZE,Czech Republic,Winter,0.4359420289855072,0.7386207036316472,13,3,2001,2010,0.5902109524442914,2001-2010
DEU,Germany,Winter,0.9866666666666667,0.8913678227576574,95,3,2001,2010,1.1069130402465952,2001-2010
EST,Estonia,Winter,0.27594202898550724,0.710140427017859,7,3,2001,2010,0.3885738911447267,2001-2010
FIN,Finland,Winter,0.5072463768115942,0.9133427491768931,21,3,2001,2010,0.5553735191621393,2001-2010
FRA,France,Winter,0.6585507246376812,0.8809813210865011,31,3,2001,2010,0.7475195090691599,2001-2010
GBR,Great Britain,Winter,0.1657971014492753,0.9161318031028634,4,3,2001,2010,0.18097516196657962,2001-2010
HRV,Croatia,Winter,0.384927536231884,0.7127696922079219,10,3,2001,2010,0.540044758412086,2001-2010
ITA,Italy,Winter,0.6342028985507246,0.8603036453656591,29,3,2001,2010,0.7371849485551887,2001-2010
JPN,Japan,Winter,0.28579710144927534,0.9147003298663074,8,3,2001,2010,0.3124488885786752,2001-2010
KAZ,Kazakhstan,Winter,0.07999999999999996,0.6192307692307693,1,1,2001,2010,0.12919254658385088,2001-2010
KOR,Korea Republic,Winter,0.6249275362318841,0.7891106704579468,29,3,2001,2010,0.7919390265870035,2001-2010
LVA,Latvia,Winter,0.15999999999999998,0.6770053876085005,3,2,2001,2010,0.23633489914340974,2001-2010
NLD,Netherlands,Winter,0.5762318840579711,0.9378815443230569,25,3,2001,2010,0.6143972952084084,2001-2010
NOR,Norway,Winter,0.8643478260869566,0.9818762938990323,67,3,2001,2010,0.8803021637834131,2001-2010
POL,Poland,Winter,0.352463768115942,0.6817356798114337,10,3,2001,2010,0.5170094195648268,2001-2010
RUS,Russian Federation,Winter,0.807536231884058,0.6168072028085403,50,3,2001,2010,1.3092198473154355,2001-2010
SVK,Slovakia,Winter,0.25999999999999995,0.7349670757258306,4,2,2001,2010,0.3537573431343602,2001-2010
SVN,Slovenia,Winter,0.18173913043478257,0.7692908653846153,4,2,2001,2010,0.23624241312669184,2001-2010
SWE,Sweden,Winter,0.6672463768115943,0.9456387808041504,32,3,2001,2010,0.7056038630778051,2001-2010
UKR,Ukraine,Winter,0.31999999999999995,0.39688715953307396,2,1,2001,2010,0.8062745098039213,2001-2010
USA,United States,Winter,0.9721739130434782,0.950912276763444,96,3,2001,2010,1.022359198424066,2001-2010
AUS,Australia,Winter,0.26666666666666666,0.9303352289733612,8,3,2005,2014,0.28663503042977023,2005-2014
AUT,Austria,Winter,0.8266666666666667,0.9098673051980445,56,3,2005,2014,0.9085573928681082,2005-2014
BGR,Bulgaria,Winter,0.19999999999999996,0.5447470817120623,1,1,2005,2014,0.367142857142857,2005-2014
BLR,Belarus,Winter,0.2933333333333333,0.53529382420433,10,3,2005,2014,0.5479856483854433,2005-2014
CAN,Canada,Winter,0.9066666666666667,0.9111643220592637,75,3,2005,2014,0.9950638372424064,2005-2014
CHE,Switzerland,Winter,0.6666666666666666,0.9716601815823606,34,3,2005,2014,0.6861109257158112,2005-2014
CHN,China,Winter,0.6666666666666666,0.4578319864312082,31,3,2005,2014,1.45613824814496,2005-2014
CZE,Czech Republic,Winter,0.52,0.7413049985034421,19,3,2005,2014,0.701465659950741,2005-2014
DEU,Germany,Winter,0.9199999999999999,0.8906066048089394,78,3,2005,2014,1.033003792058522,2005-2014
EST,Estonia,Winter,0.24,0.7214606405267884,4,2,2005,2014,0.33265847992034514,2005-2014
FIN,Finland,Winter,0.4266666666666667,0.9060510825102265,19,3,2005,2014,0.4709079597196452,2005-2014
FRA,France,Winter,0.6666666666666666,0.8777561608300908,35,3,2005,2014,0.759512375323236,2005-2014
GBR,Great Britain,Winter,0.18666666666666665,0.8971814825900428,7,3,2005,2014,0.2080589828133601,2005-2014
HRV,Croatia,Winter,0.26666666666666666,0.7040357178489475,7,3,2005,2014,0.378768661739802,2005-2014
ITA,Italy,Winter,0.5466666666666666,0.8481642222887359,24,3,2005,2014,0.6445292695694111,2005-2014
JPN,Japan,Winter,0.38666666666666666,0.8790232465329741,14,3,2005,2014,0.43988218535943113,2005-2014
KAZ,Kazakhstan,Winter,0.07999999999999996,0.6403846153846153,2,2,2005,2014,0.12492492492492488,2005-2014
KOR,Korea Republic,Winter,0.6533333333333333,0.8004888755861518,33,3,2005,2014,0.816167910959331,2005-2014
LVA,Latvia,Winter,0.19999999999999998,0.6846702584056669,8,3,2005,2014,0.29211141793382833,2005-2014
NLD,Netherlands,Winter,0.6533333333333333,0.9343759353486979,41,3,2005,2014,0.699218921011185,2005-2014
NOR,Norway,Winter,0.8666666666666667,0.9832585054374938,68,3,2005,2014,0.8814230051140515,2005-2014
POL,Poland,Winter,0.39999999999999997,0.6820762246832285,14,3,2005,2014,0.5864447191159154,2005-2014
RUS,Russian Federation,Winter,0.88,0.6601765938341814,66,3,2005,2014,1.3329766735429465,2005-2014
SVK,Slovakia,Winter,0.19999999999999996,0.7322857427915794,5,3,2005,2014,0.2731174298677057,2005-2014
SVN,Slovenia,Winter,0.42,0.7769230769230769,11,2,2005,2014,0.5405940594059405,2005-2014
SWE,Sweden,Winter,0.7333333333333334,0.9485233961887657,40,3,2005,2014,0.7731315181891335,2005-2014
UKR,Ukraine,Winter,0.21999999999999997,0.348443579766537,4,2,2005,2014,0.6313791178112784,2005-2014
USA,United States,Winter,0.9733333333333333,0.9382520203531876,90,3,2005,2014,1.037390074541955,2005-2014
AUS,Australia,Winter,0.29793103448275865,0.9446929039952295,9,3,2009,2018,0.3153734226464171,2009-2018
AUT,Austria,Winter,0.7632183908045977,0.9151659709799245,47,3,2009,2018,0.8339671873806375,2009-2018
BEL,Belgium,Winter,0.1724137931034483,0.8953488372093024,1,1,2009,2018,0.19256605463502016,2009-2018
BLR,Belarus,Winter,0.3645977011494253,0.5268833233949514,12,3,2009,2018,0.6919894499604861,2009-2018
CAN,Canada,Winter,0.9103448275862069,0.9061220433313456,80,3,2009,2018,1.0046602820071966,2009-2018
CHE,Switzerland,Winter,0.6662068965517242,0.9768733850129198,35,3,2009,2018,0.6819787566869919,2009-2018
CHN,China,Winter,0.6239080459770115,0.5387497515404492,29,3,2009,2018,1.1580665126862126,2009-2018
CZE,Czech Republic,Winter,0.5457471264367816,0.7493937586960843,22,3,2009,2018,0.728251496765012,2009-2018
DEU,Germany,Winter,0.9085057471264367,0.8959153249850923,80,3,2009,2018,1.014053138494482,2009-2018
ESP,Spain,Winter,0.31034482758620685,0.7945736434108527,2,1,2009,2018,0.39058031959629935,2009-2018
EST,Estonia,Winter,0.07999999999999996,0.7230769230769231,1,1,2009,2018,0.11063829787234038,2009-2018
FIN,Finland,Winter,0.400919540229885,0.9074637249055854,16,3,2009,2018,0.4418022772994013,2009-2018
FRA,France,Winter,0.7328735632183907,0.8714470284237725,41,3,2009,2018,0.8409846374070192,2009-2018
GBR,Great Britain,Winter,0.2694252873563218,0.8791790896442059,11,3,2009,2018,0.3064509728789788,2009-2018
HRV,Croatia,Winter,0.19999999999999996,0.698076923076923,4,2,2009,2018,0.28650137741046827,2009-2018
HUN,Hungary,Winter,0.1724137931034483,0.7015503875968992,1,1,2009,2018,0.24576109735187657,2009-2018
ITA,Italy,Winter,0.5154022988505748,0.8393063009342079,23,3,2009,2018,0.6140812934168315,2009-2018
JPN,Japan,Winter,0.5268965517241379,0.870135161995627,26,3,2009,2018,0.605534145426002,2009-2018
KAZ,Kazakhstan,Winter,0.11080459770114941,0.6233055058636454,3,3,2009,2018,0.1777693228421266,2009-2018
KOR,Korea Republic,Winter,0.702528735632184,0.8136752136752138,39,3,2009,2018,0.8634019124891336,2009-2018
LIE,Liechtenstein,Winter,0.1724137931034483,0.9961240310077519,1,1,2009,2018,0.1730846638937341,2009-2018
LVA,Latvia,Winter,0.19080459770114944,0.6928344265553568,8,3,2009,2018,0.27539710844017123,2009-2018
NLD,Netherlands,Winter,0.7540229885057471,0.9279964221824687,52,3,2009,2018,0.8125279047223376,2009-2018
NOR,Norway,Winter,0.9333333333333332,0.9794076724309283,88,3,2009,2018,0.9529569346917237,2009-2018
NZL,New Zealand,Winter,0.31034482758620685,0.875968992248062,2,1,2009,2018,0.354287458040891,2009-2018
POL,Poland,Winter,0.39678160919540223,0.6850824885708606,14,3,2009,2018,0.5791734802959595,2009-2018
RUS,Olympic Athletes from Russia,Winter,0.8275862068965517,0.624031007751938,17,1,2009,2018,1.3261940458342256,2009-2018
RUS,Russian Federation,Winter,0.9,0.6673076923076924,44,2,2009,2018,1.3487031700288183,2009-2018
SVK,Slovakia,Winter,0.2712643678160919,0.7339296362552177,7,3,2009,2018,0.3696054150370378,2009-2018
SVN,Slovenia,Winter,0.3834482758620689,0.7750546611011728,13,3,2009,2018,0.4947370748242168,2009-2018
SWE,Sweden,Winter,0.7098850574712644,0.9395448221029615,40,3,2009,2018,0.7555627371585584,2009-2018
UKR,Ukraine,Winter,0.14620689655172414,0.2992248062015504,3,2,2009,2018,0.4886189029837413,2009-2018
USA,United States,Winter,0.952183908045977,0.9383224011130987,88,3,2009,2018,1.0147726484164024,2009-2018
AUS,Australia,Winter,0.33412151067323487,0.9405062052772809,10,3,2013,2022,0.35525710388559195,2013-2022
AUT,Austria,Winter,0.7570279146141216,0.9121210991850527,49,3,2013,2022,0.8299642616429975,2013-2022
BEL,Belgium,Winter,0.24692118226600984,0.8949400436046512,3,2,2013,2022,0.2759080723122607,2013-2022
BLR,Belarus,Winter,0.36507389162561577,0.524439413138541,11,3,2013,2022,0.6961221496317522,2013-2022
CAN,Canada,Winter,0.9012972085385879,0.907023485639038,80,3,2013,2022,0.9936867377845064,2013-2022
CHE,Switzerland,Winter,0.6804926108374384,0.9767531927052276,41,3,2013,2022,0.6966883916219795,2013-2022
CHN,China,Winter,0.5981937602627257,0.5932369310276288,33,3,2013,2022,1.008355564152944,2013-2022
CZE,Czech Republic,Winter,0.47955665024630534,0.7546020920294176,18,3,2013,2022,0.6355093039254524,2013-2022
DEU,Germany,Winter,0.8980295566502464,0.8979185301132976,77,3,2013,2022,1.0001236487868614,2013-2022
ESP,Spain,Winter,0.22660098522167488,0.7859586967054264,3,2,2013,2022,0.28831156926125834,2013-2022
EST,Estonia,Winter,0.1428571428571429,0.76953125,1,1,2013,2022,0.18564176939811464,2013-2022
FIN,Finland,Winter,0.42091954022988504,0.8991904877260982,19,3,2013,2022,0.46810942283688955,2013-2022
FRA,France,Winter,0.6833497536945812,0.8604093681673625,44,3,2013,2022,0.7942146831223942,2013-2022
GBR,Great Britain,Winter,0.3499014778325123,0.8811021665672828,12,3,2013,2022,0.39711794058537603,2013-2022
HRV,Croatia,Winter,0.07999999999999996,0.676923076923077,1,1,2013,2022,0.11818181818181811,2013-2022
HUN,Hungary,Winter,0.2826354679802956,0.6964783187984496,4,2,2013,2022,0.4058065561436178,2013-2022
ITA,Italy,Winter,0.6068308702791462,0.826846365036772,35,3,2013,2022,0.7339100659312433,2013-2022
JPN,Japan,Winter,0.6540394088669951,0.8344981427648578,39,3,2013,2022,0.783751784875198,2013-2022
KAZ,Kazakhstan,Winter,0.12620689655172412,0.6253428741800835,2,2,2013,2022,0.2018203161220953,2013-2022
KOR,Korea Republic,Winter,0.6277668308702792,0.8178018162393162,34,3,2013,2022,0.7676270930249115,2013-2022
LIE,Liechtenstein,Winter,0.1724137931034483,0.9961240310077519,1,1,2013,2022,0.1730846638937341,2013-2022
LVA,Latvia,Winter,0.19842364532019707,0.7080587855297157,7,3,2013,2022,0.2802361179259313,2013-2022
NLD,Netherlands,Winter,0.8054515599343185,0.923789691413238,61,3,2013,2022,0.8718992725520863,2013-2022
NOR,Norway,Winter,0.9733333333333333,0.9793275442258,102,3,2013,2022,0.9938792583463938,2013-2022
NZL,New Zealand,Winter,0.3516009852216749,0.879390746124031,5,2,2013,2022,0.3998233854192552,2013-2022
POL,Poland,Winter,0.27106732348111656,0.6886682257503477,9,3,2013,2022,0.39361090485301764,2013-2022
RUS,Olympic Athletes from Russia,Winter,0.8275862068965517,0.624031007751938,17,1,2013,2022,1.3261940458342256,2013-2022
RUS,ROC,Winter,0.9642857142857143,0.66796875,32,1,2013,2022,1.443609022556391,2013-2022
RUS,Russian Federation,Winter,1.0,0.6730769230769231,29,1,2013,2022,1.4857142857142855,2013-2022
SVK,Slovakia,Winter,0.27174055829228244,0.7325874888193202,6,3,2013,2022,0.37093256769950445,2013-2022
SVN,Slovenia,Winter,0.4315435139573071,0.7726107508447625,17,3,2013,2022,0.5585523026769471,2013-2022
SWE,Sweden,Winter,0.7436945812807881,0.927565655436295,47,3,2013,2022,0.8017702864720447,2013-2022
UKR,Ukraine,Winter,0.14509031198686373,0.31667070413436693,4,3,2013,2022,0.45817409091717015,2013-2022
USA,United States,Winter,0.9045648604269294,0.9445123049592526,76,3,2013,2022,0.9577057447292372,2013-2022
